adarza_kavat_imprint,2023-09-27T00:00:00.000+00:00,closed,4,5.0,5.0,0.0,5.0,5.0,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-09-22T00:00:00.000+00:00,sell,340,5.0,20.0,15.0,11.0,12.5,,5ba9f2054567de01415f6391
adarza_kavat_imprint,2023-09-22T00:00:00.000+00:00,buy,6,5.0,10.0,5.0,6.0,7.5,,5ba9f2054567de01415f6391
aeolak_barrel,2023-09-26T00:00:00.000+00:00,sell,255,16.0,35.0,19.0,25.0,25.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-27T00:00:00.000+00:00,buy,47,7.0,20.0,13.0,15.0,13.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-27T00:00:00.000+00:00,closed,11,22.0,25.0,3.0,25.0,23.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-23T00:00:00.000+00:00,sell,224,18.0,38.0,20.0,25.0,28.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-23T00:00:00.000+00:00,buy,41,5.0,20.0,15.0,13.0,12.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-25T00:00:00.000+00:00,closed,6,20.0,25.0,5.0,25.0,22.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-25T00:00:00.000+00:00,buy,51,5.0,18.0,13.0,12.0,11.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-25T00:00:00.000+00:00,sell,248,16.0,35.0,19.0,25.0,25.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-26T00:00:00.000+00:00,closed,9,15.0,25.0,10.0,20.0,20.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-26T00:00:00.000+00:00,buy,50,8.0,15.0,7.0,15.0,11.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-22T00:00:00.000+00:00,closed,21,17.0,30.0,13.0,23.0,23.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-27T00:00:00.000+00:00,sell,199,16.0,35.0,19.0,25.0,25.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-09-21T00:00:00.000+00:00,closed,10,20.0,25.0,5.0,20.0,22.5,,626ca573f40db600829c9d0d
